Curso;Seccion;N Interrogacion;Fecha;Vacantes
IIC3800;1;1;31-Mar;100
IIQ3643;1;1;31-Mar;20
ICM3251;1;1;31-Mar;20
IEE3373;1;1;31-Mar;30
IMT2111;1;1;31-Mar;45
ICS3762;1;1;31-Mar;20
ICC3264;1;1;31-Mar;40
IIC1103;5,2,10,9,6,7,12,4,3,1,8,11;1;31-Mar;1280
MAT1203;9,2,3,12,11,7,10,4,6,1,13,8,5,14;1;03-Apr;1015
MAT1630;5,1,7,8,4,11,10,6,2,3,9;1;03-Apr;980
ICE3124;1;1;07-Apr;40
ICS2563;1;1;07-Apr;70
ICS3413;1;1;07-Apr;198
ICH3364;1;1;07-Apr;20
ICC2105;1;1;07-Apr;100
IIC1253;1,2,3;1;07-Apr;420
IIC3103;1;1;13-Apr;100
ICH2314;1;1;13-Apr;70
IMM3323;1;1;14-Apr;30
IMM2013;1;1;14-Apr;30
ICE2020;1;1;14-Apr;20
IMM2043;1;1;14-Apr;30
ICH2304;1;1;14-Apr;70
ICH2204;1;1;14-Apr;100
IEE2113;1;1;14-Apr;60
ICH3374;1;1;14-Apr;40
ICE2703;1;1;14-Apr;83
ICE3443;1;1;14-Apr;25
ICM3235;1;1;14-Apr;30
ICS3313;1;1;14-Apr;120
ICM2213;1;1;14-Apr;60
ICT3283;1;1;14-Apr;63
IIQ2303;1;1;14-Apr;30
ICS2123;1;1;14-Apr;120
ICS3151;1;1;14-Apr;20
ICS3723;1;1;14-Apr;60
ICM2333;1;1;14-Apr;60
ICS3313;2,3;1;14-Apr;200
IIC3284;1;1;17-Apr;30
EYP1113;4,2,5,1,3;1;17-Apr;585
MAT1620;6,2,8,4,3,7,1,5;1;18-Apr;710
IIC2213;1;1;19-Apr;100
IEE3732;1;1;19-Apr;18
ICT3623;1;1;19-Apr;35
IMM3800;1;1;19-Apr;20
IIC3745;1;1;19-Apr;90
IIC2764;1;1;20-Apr;90
ICE2114;1;1;20-Apr;95
IIC3113;2;1;20-Apr;100
IEE2343;1;1;20-Apr;10
IEE2513;1;1;20-Apr;40
IIC2613;1;1;20-Apr;140
ICT3523;1;1;20-Apr;20
ICC3253;1;1;20-Apr;30
ICS2123;3;1;20-Apr;60
ICT2303;1;1;20-Apr;60
ICM2313;1;1;20-Apr;55
ICM2203;1;1;20-Apr;60
IIC3113;1;1;20-Apr;100
ICE2006;1;1;20-Apr;120
IMM2213;1;1;20-Apr;30
ICC3914;1;1;20-Apr;15
ICC2913;1;1;20-Apr;40
ICM2022;1;1;21-Apr;60
IIQ2133;1;1;21-Apr;80
ICE3753;1;1;21-Apr;27
ICE2533;1;1;21-Apr;85
ICC2514;1;1;21-Apr;36
ICS2523;3;1;21-Apr;90
ICC3214;1;1;21-Apr;62
IIC2333;1;1;21-Apr;140
IIC3143;1;1;21-Apr;80
IMM2053;1;1;21-Apr;40
ICS1513;2,1;1;21-Apr;120
ICE3653;1;1;24-Apr;21
IIC2733;2;1;24-Apr;55
IEE2213;1;1;24-Apr;60
IMM2033;1;1;24-Apr;30
ICH3350;1;1;24-Apr;25
ICM2813;2,1;1;24-Apr;84
ICH3222;1;1;25-Apr;25
IMM2003;1;1;25-Apr;35
ICS3582;1;1;25-Apr;50
ICM3762;1;1;25-Apr;30
ICS2121;1;1;25-Apr;190
ICE2028;1;1;25-Apr;20
IMT3800;1;1;25-Apr;35
ICT3113;2,3,1;1;25-Apr;45
ICS2523;4;1;26-Apr;50
ICM1001;1;1;26-Apr;60
IIQ2003;1;1;26-Apr;60
IMM1003;1;1;26-Apr;80
ICC3124;1;1;26-Apr;100
IIC1001;1;1;26-Apr;80
ICE3233;1;1;26-Apr;40
ICM2223;1;1;26-Apr;60
IIQ2013;2,3,1;1;26-Apr;75
ICE1514;1;1;27-Apr;120
MAT1610;10,9,15,3,6,18,11,20,7,8,17,13,12,1,2,19,16,5,14,4;1;27-Apr;1727
ICE2633;1;1;28-Apr;22
IMM3313;1;1;28-Apr;20
ICC2204;1;1;28-Apr;60
ICC3312;1;1;28-Apr;20
ICC2312;1;1;28-Apr;30
IIC2143;2;1;05-May;140
ICT2233;1;1;05-May;55
IEE2613;1;1;05-May;60
ICS2563;2;1;05-May;70
ICM2003;1;1;05-May;64
ICT3435;1;1;05-May;30
IEE2413;1;1;05-May;60
ICM2028;1;1;05-May;75
IMT3130;1;1;05-May;40
ICM2413;1;1;05-May;60
ICH2124;1;1;05-May;60
IIQ2663;1;1;05-May;40
ICE2313;1;1;05-May;119
ICE3413;1;1;05-May;40
IIC2143;1;1;05-May;140
IEE2103;1;1;05-May;75
ICH1104;2,1,3;1;05-May;360
ICE2623;1;1;10-May;50
ICH2304;2;1;10-May;70
IIC3800;1;2;10-May;100
IIQ3643;1;2;10-May;20
ICM3251;1;2;10-May;20
IEE3373;1;2;10-May;30
IMT2111;1;2;10-May;45
ICS3762;1;2;10-May;20
ICC3264;1;2;10-May;40
IIC3743;1;1;10-May;90
IIC1103;5,2,10,9,6,7,12,4,3,1,8,11;2;10-May;1280
FIS1533;1,4,2,3;1;11-May;370
MAT1203;9,2,3,12,11,7,10,4,6,1,13,8,5,14;2;11-May;1015
IEE2463;1;1;12-May;44
ICE2604;1;1;12-May;95
IIQ2673;1;1;12-May;50
IIQ3343;1;1;12-May;40
ICC3543;1;1;12-May;30
IEE2123;1;1;12-May;60
IIC2733;1;1;12-May;55
IMT3150;1;1;12-May;35
IEE3234;1;1;12-May;30
ICE3613;1;1;12-May;20
ICM2803;1;1;12-May;64
ICH2214;1;1;12-May;60
IIC2343;1,2;1;12-May;198
FIS1514;3,6,1,4,2,5;1;15-May;312
ICH3532;1;1;16-May;15
ICH2574;1;1;16-May;20
ICS2613;3,1,2;1;16-May;400
ICS3413;3,2;1;16-May;140
ICE2114;1;2;19-May;95
IIC2613;1;2;19-May;140
ICT3523;1;2;19-May;20
ICC3253;1;2;19-May;30
ICS2123;3;2;19-May;60
ICT2303;1;2;19-May;60
IIC3113;1;2;19-May;100
IMM2213;1;2;19-May;30
IIQ2023;2,1,3;1;19-May;60
IIC3757;1;1;22-May;50
ICH2114;1;1;22-May;100
ICC3434;1;1;22-May;50
IIC2133;2;1;22-May;140
IIC3242;1;1;22-May;140
ICE3513;1;1;22-May;30
IIQ2043;1;1;22-May;100
ICM2403;1;1;22-May;66
ICC1001;1;1;22-May;45
ICE3663;1;1;22-May;30
IIC2133;1;1;22-May;140
IIC2714;1;1;22-May;30
IIC2764;1;2;23-May;90
ICE3653;1;2;23-May;21
ICH1005;1;1;23-May;40
ICS3413;1;2;23-May;198
IIC2733;2;2;23-May;55
IMM2033;1;2;23-May;30
ICH3350;1;2;23-May;25
ICS1113;3,2,4,1;1;23-May;520
ICS2523;2,1;1;23-May;240
IIC3284;1;2;24-May;30
EYP1113;4,2,5,1,3;2;24-May;585
MAT1620;6,2,8,4,3,7,1,5;2;25-May;710
MAT1630;5,1,7,8,4,11,10,6,2,3,9;2;25-May;980
ICM3243;1;1;26-May;40
IIC2713;2;1;26-May;120
IEE2713;1;1;26-May;70
ICH3600;1;1;26-May;25
ICS2023;1;1;26-May;60
ICT3464;1;1;26-May;46
ICS2123;2;1;26-May;120
ICC2304;1;1;26-May;80
IIC2713;3;1;26-May;120
IIC2713;1;1;26-May;120
ICS3811;1;1;26-May;40
ICS3213;4,3,2,1;1;26-May;350
MAT1610;10,9,15,3,6,18,11,20,7,8,17,13,12,1,2,19,16,5,14,4;2;29-May;1727
ICM2022;1;2;30-May;60
IIQ2133;1;2;30-May;80
ICE3753;1;2;30-May;27
ICE2533;1;2;30-May;85
ICC2514;1;2;30-May;36
ICS2523;3;2;30-May;90
ICC3214;1;2;30-May;62
IIC2333;1;2;30-May;140
IIC3143;1;2;30-May;80
IMM2053;1;2;30-May;40
ICS1513;2,1;2;30-May;120
IIC3113;2;2;01-Jun;100
IEE2343;1;2;01-Jun;10
IEE2513;1;2;01-Jun;40
ICM2313;1;2;01-Jun;55
ICM2203;1;2;01-Jun;60
ICE2006;1;2;01-Jun;120
ICC3914;1;2;01-Jun;15
ICC2913;1;2;01-Jun;40
ICE3124;1;2;02-Jun;40
ICS2563;1;2;02-Jun;70
ICH3364;1;2;02-Jun;20
ICC2105;1;2;02-Jun;100
IIC1253;1,2,3;2;02-Jun;420
ICH2304;1;2;05-Jun;70
ICH3374;1;2;05-Jun;40
ICS3313;1;2;05-Jun;120
ICM2213;1;2;05-Jun;60
IIQ2303;1;2;05-Jun;30
ICS3151;1;2;05-Jun;20
ICS3723;1;2;05-Jun;60
ICM2333;1;2;05-Jun;60
ICC3312;1;2;05-Jun;20
ICC2312;1;2;05-Jun;30
ICS2523;4;2;06-Jun;50
ICM1001;1;2;06-Jun;60
IIQ2003;1;2;06-Jun;60
IMM1003;1;2;06-Jun;80
ICC3124;1;2;06-Jun;100
IIC1001;1;2;06-Jun;80
ICE3233;1;2;06-Jun;40
ICM2223;1;2;06-Jun;60
IIQ2013;2,3,1;2;06-Jun;75
IIC3103;1;2;07-Jun;100
ICH2314;1;2;07-Jun;70
FIS1533;1,4,2,3;2;08-Jun;370
MAT1203;9,2,3,12,11,7,10,4,6,1,13,8,5,14;3;08-Jun;1015
ICE2633;1;2;09-Jun;22
IMM3323;1;2;09-Jun;30
IMM2013;1;2;09-Jun;30
IMM2043;1;2;09-Jun;30
ICH2204;1;2;09-Jun;100
ICE2703;1;2;09-Jun;83
ICC2204;1;2;09-Jun;60
ICE3443;1;2;09-Jun;25
ICM3235;1;2;09-Jun;30
ICT3283;1;2;09-Jun;63
ICS2123;1;2;09-Jun;120
ICS3313;2,3;2;09-Jun;200
IIC2213;1;2;12-Jun;100
ICS2121;1;2;12-Jun;190
IEE3732;1;2;12-Jun;18
ICT3623;1;2;12-Jun;35
IMM3800;1;2;12-Jun;20
IIC3745;1;2;12-Jun;90
IIC2143;2;2;13-Jun;140
ICT2233;1;2;13-Jun;55
IEE2613;1;2;13-Jun;60
ICS2563;2;2;13-Jun;70
ICM2003;1;2;13-Jun;64
ICT3435;1;2;13-Jun;30
IEE2413;1;2;13-Jun;60
ICM2028;1;2;13-Jun;75
IMT3130;1;2;13-Jun;40
ICM2413;1;2;13-Jun;60
ICH2124;1;2;13-Jun;60
IIQ2663;1;2;13-Jun;40
ICE2313;1;2;13-Jun;119
ICE3413;1;2;13-Jun;40
IIC2143;1;2;13-Jun;140
IEE2103;1;2;13-Jun;75
ICH1104;2,1,3;2;13-Jun;360
ICH3222;1;2;14-Jun;25
IMM2003;1;2;14-Jun;35
ICS3582;1;2;14-Jun;50
ICM3762;1;2;14-Jun;30
ICE2028;1;2;14-Jun;20
IMT3800;1;2;14-Jun;35
ICT3113;2,3,1;2;14-Jun;45
FIS1514;3,6,1,4,2,5;2;15-Jun;312
ICE2020;1;2;16-Jun;20
ICH3532;1;2;16-Jun;15
IMM3313;1;2;16-Jun;20
ICH2574;1;2;16-Jun;20
IEE2113;1;2;16-Jun;60
IIQ2023;2,1,3;2;16-Jun;60
ICM2813;2,1;2;19-Jun;84
ICE1514;1;2;20-Jun;120
ICE2604;1;2;21-Jun;95
IIQ2673;1;2;21-Jun;50
IIQ3343;1;2;21-Jun;40
ICC3543;1;2;21-Jun;30
IEE2123;1;2;21-Jun;60
IIC2733;1;2;21-Jun;55
IMT3150;1;2;21-Jun;35
IEE3234;1;2;21-Jun;30
ICE3613;1;2;21-Jun;20
IEE2213;1;2;21-Jun;60
ICM2803;1;2;21-Jun;64
ICH2214;1;2;21-Jun;60
ICS1113;3,2,4,1;2;21-Jun;520
ICS2523;2,1;2;21-Jun;240
ICE2623;1;2;22-Jun;50
IIC3757;1;2;22-Jun;50
ICH2114;1;2;22-Jun;100
ICC3434;1;2;22-Jun;50
IIC2133;2;2;22-Jun;140
IIC3242;1;2;22-Jun;140
ICE3513;1;2;22-Jun;30
IIQ2043;1;2;22-Jun;100
ICM2403;1;2;22-Jun;66
ICC1001;1;2;22-Jun;45
ICE3663;1;2;22-Jun;30
IIC2133;1;2;22-Jun;140
IIC2714;1;2;22-Jun;30
IIC3743;1;2;23-Jun;90
ICS2613;3,1,2;2;23-Jun;400
ICS3413;3,2;2;23-Jun;140
MAT1610;10,9,15,3,6,18,11,20,7,8,17,13,12,1,2,19,16,5,14,4;3;26-Jun;1727
EYP1113;4,2,5,1,3;3;27-Jun;585
ICM3243;1;2;28-Jun;40
IIC2713;2;2;28-Jun;120
IEE2713;1;2;28-Jun;70
ICH3600;1;2;28-Jun;25
ICS2023;1;2;28-Jun;60
ICT3464;1;2;28-Jun;46
ICS2123;2;2;28-Jun;120
ICC2304;1;2;28-Jun;80
IIC2713;3;2;28-Jun;120
IIC2713;1;2;28-Jun;120
ICH2304;2;2;28-Jun;70
ICH1005;1;2;28-Jun;40
ICS3811;1;2;28-Jun;40
ICS3213;4,3,2,1;2;28-Jun;350
MAT1620;6,2,8,4,3,7,1,5;3;29-Jun;710
MAT1630;5,1,7,8,4,11,10,6,2,3,9;3;29-Jun;980
IEE2463;1;2;30-Jun;44
IIC2343;1,2;2;30-Jun;198
