nodo1,nodo2,distancia,"",_duplicated_0,_duplicated_1,_duplicated_2,_duplicated_3,_duplicated_4,_duplicated_5,_duplicated_6,_duplicated_7,_duplicated_8,_duplicated_9,_duplicated_10,_duplicated_11,_duplicated_12,_duplicated_13,_duplicated_14,_duplicated_15,_duplicated_16,_duplicated_17,_duplicated_18
AE001,AE002,1,,,,,,,,,,,,,,,,,,,,
AE002,AE003,1,,,,,,,,,,,,,,,,,,,,
AE003,AE102,5,,,,,,,,,,,,,,,,,,,,
AE004,AE003,1,,,,,,,,,,,,,,,,,,,,
AE101,AE001,5,,,,,,,,,,,,,,,,,,,,
AE102,AE101,1,,,,,,,,,,,,,,,,,,,,
AE102,AP102,100,,,,,,,,,,,,,,,,,,,,
AE102,AE002,5,,,,,,,,,,,,,,,,,,,,
AE201,AE101,5,,,,,,,,,,,,,,,,,,,,
AE201,AE202,1,,,,,,,,,,,,,,,,,,,,
AE202,AE203,1,,,,,,,,,,,,,,,,,,,,
AE203,AE102,5,,,,,,,,,,,,,,,,,,,,
A1,A2,1,,,,,,,,,,,,,,,,,,,,
A2,A4,1,,,,,,,,,,,,,,,,,,,,
A3,A4,1,,,,,,,,,,,,,,,,,,,,
A4,A6,1,,,,,,,,,,,,,,,,,,,,
A5,A6,1,,,,,,,,,,,,,,,,,,,,
A6,A7,1,,,,,,,,,,,,,,,,,,,,
A7,A7-B11,5,,,,,,,,,,,,,,,,,,,,
B11,A7-B11,5,,,,,,,,,,,,,,,,,,,,
B12,B11,1,,,,,,,,,,,,,,,,,,,,
B13,B12,1,,,,,,,,,,,,,,,,,,,,
B14,B17-14,1,,,,,,,,,,,,,,,,,,,,
B15,B14,1,,,,,,,,,,,,,,,,,,,,
B16,B15,1,,,,,,,,,,,,,,,,,,,,
B17,B17-14,1,,,,,,,,,,,,,,,,,,,,
B18,B17,1,,,,,,,,,,,,,,,,,,,,
B17-14,A2,1,,,,,,,,,,,,,,,,,,,,
B16-13,B13,1,,,,,,,,,,,,,,,,,,,,
B16-13,B16,1,,,,,,,,,,,,,,,,,,,,
B21-BC21,B16-13,5,,,,,,,,,,,,,,,,,,,,
B21,B21-BC21,1,,,,,,,,,,,,,,,,,,,,
B22,B21,1,,,,,,,,,,,,,,,,,,,,
B23,B22,1,,,,,,,,,,,,,,,,,,,,
B23,B17-14-B23,1,,,,,,,,,,,,,,,,,,,,
B17-14-B23,B17-14,5,,,,,,,,,,,,,,,,,,,,
B24,B17-14-B23,1,,,,,,,,,,,,,,,,,,,,
B25,B24,1,,,,,,,,,,,,,,,,,,,,
BC21,B21-BC21,1,,,,,,,,,,,,,,,,,,,,
BC22,BC21,1,,,,,,,,,,,,,,,,,,,,
BC23,BC22,1,,,,,,,,,,,,,,,,,,,,
BC24,BC23,1,,,,,,,,,,,,,,,,,,,,
BC25,BC24,1,,,,,,,,,,,,,,,,,,,,
BC26,BC25,1,,,,,,,,,,,,,,,,,,,,
D101,K204,100,,,,,,,,,,,,,,,,,,,,
D104,D101,1,,,,,,,,,,,,,,,,,,,,
D201,D202,1,,,,,,,,,,,,,,,,,,,,
D202,D101,5,,,,,,,,,,,,,,,,,,,,
D203,D202,1,,,,,,,,,,,,,,,,,,,,
D204,D203,1,,,,,,,,,,,,,,,,,,,,
D204,CS201,100,,,,,,,,,,,,,,,,,,,,
D301,D302,1,,,,,,,,,,,,,,,,,,,,
D302,D202,5,,,,,,,,,,,,,,,,,,,,
D303,D302,1,,,,,,,,,,,,,,,,,,,,
D304,D303,1,,,,,,,,,,,,,,,,,,,,
D305,D304,1,,,,,,,,,,,,,,,,,,,,
D306,D305,1,,,,,,,,,,,,,,,,,,,,
F201,A7-B11,50,,,,,,,,,,,,,,,,,,,,
F201,C203-003,10,,,,,,,,,,,,,,,,,,,,
AG1,AP102,100,,,,,,,,,,,,,,,,,,,,
AG1,AG2,1,,,,,,,,,,,,,,,,,,,,
AG2,AG3,1,,,,,,,,,,,,,,,,,,,,
AG3,M2,100,,,,,,,,,,,,,,,,,,,,
AG3,AG6,1,,,,,,,,,,,,,,,,,,,,
AG4,AGCV,1,,,,,,,,,,,,,,,,,,,,
AG5,AG4,1,,,,,,,,,,,,,,,,,,,,
AG6,AG5,1,,,,,,,,,,,,,,,,,,,,
AGCV,AG1,1,,,,,,,,,,,,,,,,,,,,
S11,S9,1,,,,,,,,,,,,,,,,,,,,
S13,S16,1,,,,,,,,,,,,,,,,,,,,
S14,S13,1,,,,,,,,,,,,,,,,,,,,
S14,S16,1,,,,,,,,,,,,,,,,,,,,
S15,S14,1,,,,,,,,,,,,,,,,,,,,
S16,S15,1,,,,,,,,,,,,,,,,,,,,
S19,S19-16,2,,,,,,,,,,,,,,,,,,,,
S19-16,S16,2,,,,,,,,,,,,,,,,,,,,
S19-16,AE102,100,,,,,,,,,,,,,,,,,,,,
S2,S6,5,,,,,,,,,,,,,,,,,,,,
S20,S19,1,,,,,,,,,,,,,,,,,,,,
S3,S2,1,,,,,,,,,,,,,,,,,,,,
S4,S3,1,,,,,,,,,,,,,,,,,,,,
S4,S11,2,,,,,,,,,,,,,,,,,,,,
S6,S7,1,,,,,,,,,,,,,,,,,,,,
S7,S8,1,,,,,,,,,,,,,,,,,,,,
S8,AE102,100,,,,,,,,,,,,,,,,,,,,
N10,N11,1,,,,,,,,,,,,,,,,,,,,
N10,N10-8-1A,2,,,,,,,,,,,,,,,,,,,,
N11,N12,1,,,,,,,,,,,,,,,,,,,,
N12,N13-B,5,,,,,,,,,,,,,,,,,,,,
N13-A,N13-B,5,,,,,,,,,,,,,,,,,,,,
N13-A,M2,2,,,,,,,,,,,,,,,,,,,,
N14,N13-A,1,,,,,,,,,,,,,,,,,,,,
N15,N14,1,,,,,,,,,,,,,,,,,,,,
N16-A,N1A,1,,,,,,,,,,,,,,,,,,,,
N16-A,NTNT,5,,,,,,,,,,,,,,,,,,,,
N16-B,N16-A,5,,,,,,,,,,,,,,,,,,,,
N17,N16-B,1,,,,,,,,,,,,,,,,,,,,
N18,N17,1,,,,,,,,,,,,,,,,,,,,
N10-8-1A--M1AM1,N10-8-1A,2,,,,,,,,,,,,,,,,,,,,
N10-8-1A--M1AM1,M1,4,,,,,,,,,,,,,,,,,,,,
N10-8-1A--M1AM1,AM1,2,,,,,,,,,,,,,,,,,,,,
N1A,N10-8-1A,5,,,,,,,,,,,,,,,,,,,,
N2,N16-A,5,,,,,,,,,,,,,,,,,,,,
N3,N2,1,,,,,,,,,,,,,,,,,,,,
N4,N3,1,,,,,,,,,,,,,,,,,,,,
N5,N4,1,,,,,,,,,,,,,,,,,,,,
N6,N5,1,,,,,,,,,,,,,,,,,,,,
N7,N6,1,,,,,,,,,,,,,,,,,,,,
N8,N7,1,,,,,,,,,,,,,,,,,,,,
N8,N10-8-1A,4,,,,,,,,,,,,,,,,,,,,
NT201,NTNT,5,,,,,,,,,,,,,,,,,,,,
NTNT,CS102,100,,,,,,,,,,,,,,,,,,,,
M1,M2,1,,,,,,,,,,,,,,,,,,,,
M2,AL1,10,,,,,,,,,,,,,,,,,,,,
M2,AP102,100,,,,,,,,,,,,,,,,,,,,
C001,C002,1,,,,,,,,,,,,,,,,,,,,
C002,C003,1,,,,,,,,,,,,,,,,,,,,
C003,C203-003,5,,,,,,,,,,,,,,,,,,,,
C200,C201,1,,,,,,,,,,,,,,,,,,,,
C200,C300,5,,,,,,,,,,,,,,,,,,,,
C201,C202,1,,,,,,,,,,,,,,,,,,,,
C202,C203,1,,,,,,,,,,,,,,,,,,,,
C203,C307,5,,,,,,,,,,,,,,,,,,,,
C300,C301,1,,,,,,,,,,,,,,,,,,,,
C300,C400,5,,,,,,,,,,,,,,,,,,,,
C301,C302,1,,,,,,,,,,,,,,,,,,,,
C302,C303,1,,,,,,,,,,,,,,,,,,,,
C303,C304,1,,,,,,,,,,,,,,,,,,,,
C304,C305,1,,,,,,,,,,,,,,,,,,,,
C305,C306,1,,,,,,,,,,,,,,,,,,,,
C306,C307,1,,,,,,,,,,,,,,,,,,,,
C307,C406,5,,,,,,,,,,,,,,,,,,,,
C400,C401,1,,,,,,,,,,,,,,,,,,,,
C400,C500,5,,,,,,,,,,,,,,,,,,,,
C401,C402,1,,,,,,,,,,,,,,,,,,,,
C402,C403,1,,,,,,,,,,,,,,,,,,,,
C403,C404,1,,,,,,,,,,,,,,,,,,,,
C404,C405,1,,,,,,,,,,,,,,,,,,,,
C405,C406,1,,,,,,,,,,,,,,,,,,,,
C406,C510,5,,,,,,,,,,,,,,,,,,,,
C500,C501,1,,,,,,,,,,,,,,,,,,,,
C501,C502,1,,,,,,,,,,,,,,,,,,,,
C502,C503,1,,,,,,,,,,,,,,,,,,,,
C503,C504,1,,,,,,,,,,,,,,,,,,,,
C504,C505,1,,,,,,,,,,,,,,,,,,,,
C505,C506,1,,,,,,,,,,,,,,,,,,,,
C506,C507,1,,,,,,,,,,,,,,,,,,,,
C507,C508,1,,,,,,,,,,,,,,,,,,,,
C508,C509,1,,,,,,,,,,,,,,,,,,,,
C509,C510,1,,,,,,,,,,,,,,,,,,,,
C203-003,C203,5,,,,,,,,,,,,,,,,,,,,
C203-003,A7-B11,100,,,,,,,,,,,,,,,,,,,,
C200-001,C200,5,,,,,,,,,,,,,,,,,,,,
C200-001,C001,5,,,,,,,,,,,,,,,,,,,,
C200-001,E10-13,5,,,,,,,,,,,,,,,,,,,,
AL2,AL1,1,,,,,,,,,,,,,,,,,,,,
AL3,AL2,1,,,,,,,,,,,,,,,,,,,,
AL4,AL3,1,,,,,,,,,,,,,,,,,,,,
ALT,AL4,1,,,,,,,,,,,,,,,,,,,,
AM1,AM2,1,,,,,,,,,,,,,,,,,,,,
AM2,AM3,1,,,,,,,,,,,,,,,,,,,,
AM3,ALT,1,,,,,,,,,,,,,,,,,,,,
E10,E11,1,,,,,,,,,,,,,,,,,,,,
E11,E12,1,,,,,,,,,,,,,,,,,,,,
E12,E13,1,,,,,,,,,,,,,,,,,,,,
E13,E10-13,1,,,,,,,,,,,,,,,,,,,,
E12,E10,1,,,,,,,,,,,,,,,,,,,,
E11,E13,1,,,,,,,,,,,,,,,,,,,,
E10-13,E10,1,,,,,,,,,,,,,,,,,,,,
E14,E15,1,,,,,,,,,,,,,,,,,,,,
E15,E16,1,,,,,,,,,,,,,,,,,,,,
E16,E17,1,,,,,,,,,,,,,,,,,,,,
E17,E17-14,1,,,,,,,,,,,,,,,,,,,,
E16,E14,1,,,,,,,,,,,,,,,,,,,,
E17,E15,1,,,,,,,,,,,,,,,,,,,,
E17-14,E14,1,,,,,,,,,,,,,,,,,,,,
E17-14,E10-13,2,,,,,,,,,,,,,,,,,,,,
A7-B11,E17-14,100,,,,,,,,,,,,,,,,,,,,
A7-B11,E10-13,110,,,,,,,,,,,,,,,,,,,,
R2,S2,5,,,,,,,,,,,,,,,,,,,,
R3,R2,1,,,,,,,,,,,,,,,,,,,,
R4,R3,1,,,,,,,,,,,,,,,,,,,,
R5,R4,1,,,,,,,,,,,,,,,,,,,,
R6,R5,1,,,,,,,,,,,,,,,,,,,,
R6,C203-003,100,,,,,,,,,,,,,,,,,,,,
CS203-D104,D104,20,,,,,,,,,,,,,,,,,,,,
CS-101,CS203-D104,5,,,,,,,,,,,,,,,,,,,,
CS-102,CS-101,1,,,,,,,,,,,,,,,,,,,,
CS201,CS202,1,,,,,,,,,,,,,,,,,,,,
CS202,CS203,1,,,,,,,,,,,,,,,,,,,,
CS203,CS203-D104,5,,,,,,,,,,,,,,,,,,,,
CS204,CS203,1,,,,,,,,,,,,,,,,,,,,
CS301,CS302,1,,,,,,,,,,,,,,,,,,,,
CS302,CS303,1,,,,,,,,,,,,,,,,,,,,
CS303,CS203,5,,,,,,,,,,,,,,,,,,,,
CS304,CS303,1,,,,,,,,,,,,,,,,,,,,
CS401,CS402,1,,,,,,,,,,,,,,,,,,,,
CS402,CS403,1,,,,,,,,,,,,,,,,,,,,
CS403,CS303,5,,,,,,,,,,,,,,,,,,,,
CS404,CS403,1,,,,,,,,,,,,,,,,,,,,
CS405,CS404,1,,,,,,,,,,,,,,,,,,,,
CS405,CS304,5,,,,,,,,,,,,,,,,,,,,
AUD_VET,CS203-D104,150,,,,,,,,,,,,,,,,,,,,
AUD_VET,NTNT,150,,,,,,,,,,,,,,,,,,,,
K200,A7,100,,,,,,,,,,,,,,,,,,,,
K200,K201,1,,,,,,,,,,,,,,,,,,,,
K201,K202,1,,,,,,,,,,,,,,,,,,,,
K202,K203,1,,,,,,,,,,,,,,,,,,,,
K203,K204,1,,,,,,,,,,,,,,,,,,,,
K204,B18,100,,,,,,,,,,,,,,,,,,,,
K300,K200,5,,,,,,,,,,,,,,,,,,,,
K300,K301,1,,,,,,,,,,,,,,,,,,,,
K301,K302,1,,,,,,,,,,,,,,,,,,,,
K302,K303,1,,,,,,,,,,,,,,,,,,,,
K303,K304,1,,,,,,,,,,,,,,,,,,,,
K304,K305,1,,,,,,,,,,,,,,,,,,,,
K305,K307,1,,,,,,,,,,,,,,,,,,,,
K307,K204,5,,,,,,,,,,,,,,,,,,,,
AP001,AP002,1,,,,,,,,,,,,,,,,,,,,
AP002,AP003,1,,,,,,,,,,,,,,,,,,,,
AP003,AP004,1,,,,,,,,,,,,,,,,,,,,
AP003,AP102,5,,,,,,,,,,,,,,,,,,,,
AP101,AP102,1,,,,,,,,,,,,,,,,,,,,
AP102,AP103,1,,,,,,,,,,,,,,,,,,,,
AP103,AP202,5,,,,,,,,,,,,,,,,,,,,
AP201,AP202,1,,,,,,,,,,,,,,,,,,,,
AP202,AP203,1,,,,,,,,,,,,,,,,,,,,
AP203,AP302,5,,,,,,,,,,,,,,,,,,,,
AP301,AP302,1,,,,,,,,,,,,,,,,,,,,
AP302,AP303,1,,,,,,,,,,,,,,,,,,,,
AP303,AP402,5,,,,,,,,,,,,,,,,,,,,
AP401,AP402,1,,,,,,,,,,,,,,,,,,,,
AP402,AP403,1,,,,,,,,,,,,,,,,,,,,
AP403,AP404,1,,,,,,,,,,,,,,,,,,,,
AP403,AP502,5,,,,,,,,,,,,,,,,,,,,
AP501,AP502,1,,,,,,,,,,,,,,,,,,,,
AP502,AP503,1,,,,,,,,,,,,,,,,,,,,
AP503,AP504,1,,,,,,,,,,,,,,,,,,,,
AP503,AP602,5,,,,,,,,,,,,,,,,,,,,
AP601,AP602,1,,,,,,,,,,,,,,,,,,,,
AP602,AP603,1,,,,,,,,,,,,,,,,,,,,
AP603,AP604,1,,,,,,,,,,,,,,,,,,,,
AUD_AP,AP001,5,,,,,,,,,,,,,,,,,,,,
